entry_date,exit_date,direction,entry,exit,stop,target,bars_held,pnl_$,pnl_%_equity,exit_reason
2017-10-10,2017-10-27,long,6037.02001953125,6139.027762276786,5986.016148158482,6139.027762276786,13,293.08930315451664,5.644908130086304,target
2017-11-02,2017-12-01,long,6202.52978515625,6337.8701171875,6041.395246233259,6524.798863002232,20,131.8796132608634,2.404285321618309,timeout
2017-12-01,2017-12-15,long,6291.83984375,6440.221958705357,6217.648786272322,6440.221958705357,10,322.7333450695521,5.745582282110899,target
2017-12-19,2018-01-12,long,6495.18017578125,6710.710972377232,6387.414777483259,6710.710972377232,16,345.648144282785,5.819185556448623,target
2018-01-24,2018-02-02,long,6926.3701171875,6813.33380998884,6813.33380998884,7152.442731584821,7,-200.11787467685588,-3.183826868256085,stop
2018-03-13,2018-03-19,long,7108.0400390625,6915.558977399553,6915.558977399553,7493.002162388393,4,-189.30166049796048,-3.1107855491493916,stop
2018-04-19,2018-04-23,long,6788.31982421875,6626.572248186384,6626.572248186384,7111.814976283482,2,-184.30438708407894,-3.12590580936175,stop
2018-04-30,2018-05-10,long,6619.259765625,6897.711251395089,6480.034022739956,6897.711251395089,8,334.5569779637901,5.857369916759781,target
2018-05-15,2018-06-05,long,6906.77001953125,7159.241978236607,6780.534040178572,7159.241978236607,14,352.85269755726546,5.8358605037577655,target
2018-06-07,2018-06-25,long,7137.1298828125,7049.264857700893,7049.264857700893,7312.859933035714,12,-207.56783661674208,-3.2436850114279325,stop
2018-07-16,2018-07-30,long,7348.9599609375,7220.649344308035,7220.649344308035,7605.581194196429,10,-196.38568344258707,-3.1718242843963527,stop
2018-09-04,2018-09-05,long,7583.52001953125,7525.362252371652,7525.362252371652,7699.835553850446,1,-203.30786870214644,-3.391186958676752,stop
2018-09-05,2018-09-06,long,7556.7099609375,7453.864676339285,7453.864676339285,7762.400530133929,1,-186.52325706321267,-3.220429453536716,stop
2018-11-09,2018-11-12,long,7057.7099609375,6852.760899135044,6852.760899135044,7467.608084542411,1,-173.95140638156678,-3.1033092305795504,stop
2019-01-22,2019-02-05,long,6665.0498046875,6987.616315569196,6503.766549246652,6987.616315569196,10,319.1504379392773,5.876024641495435,target
2019-02-07,2019-02-13,long,6857.31005859375,7026.061732700893,6772.934221540178,7026.061732700893,4,331.0124686994174,5.756186950030258,target
2019-02-21,2019-03-04,long,7009.72998046875,7192.703369140625,6918.2432861328125,7192.703369140625,7,350.91469001250493,5.7701393618596875,target
2019-03-04,2019-03-07,long,7111.77978515625,7030.185895647322,7030.185895647322,7274.967564174107,3,-209.7941233889091,-3.2614820727860283,stop
2019-03-28,2019-04-01,long,7293.85009765625,7442.129708426339,7219.710292271206,7442.129708426339,2,354.99547523836253,5.704860969362851,target
2019-04-04,2019-04-17,long,7520.39990234375,7690.899274553571,7435.15021623884,7690.899274553571,9,377.253044372185,5.735351521655259,target
2019-04-18,2019-04-23,long,7659.85009765625,7763.589181082589,7607.980555943081,7763.589181082589,2,386.48380329039014,5.556974102064711,target
2019-04-25,2019-05-02,long,7783.58984375,7688.0233154296875,7688.0233154296875,7974.722900390625,5,-238.1805426775582,-3.244340460427575,stop
2019-05-10,2019-05-13,long,7461.509765625,7328.170340401785,7328.170340401785,7728.188616071429,1,-225.02172527145743,-3.167876299597081,stop
2019-06-25,2019-07-01,long,7606.27978515625,7816.261056082589,7501.289149693081,7816.261056082589,4,397.7436229928542,5.7826583365763735,target
2019-07-25,2019-07-26,long,7926.990234375,8017.913190569196,7881.528756277902,8017.913190569196,1,398.4968159098728,5.47689842700818,target
2019-08-15,2019-09-13,long,7468.169921875,7892.9501953125,7208.352033342634,7987.805698939732,20,369.7947203322092,4.818514682028598,timeout
2019-09-18,2019-09-25,long,7835.89013671875,7680.297956194197,7680.297956194197,8147.074497767857,5,-253.4811461698369,-3.1510851659183894,stop
2019-10-14,2019-11-04,long,7831.10986328125,8190.865478515625,7651.2320556640625,8190.865478515625,15,457.27078777420996,5.869392840055946,target
2019-11-05,2019-12-04,long,8197.3203125,8296.5302734375,8071.658883231027,8448.643171037946,20,179.2138942912614,2.1728061145204243,timeout
2019-12-09,2019-12-16,long,8365.25,8538.132917131697,8278.808541434151,8538.132917131697,5,481.16910520083655,5.709679239379298,target
2019-12-24,2020-01-02,long,8690.150390625,8846.974888392859,8611.73814174107,8846.974888392859,5,504.8866553751045,5.667520680213291,target
2020-01-24,2020-01-27,long,9118.98046875,9037.18833705357,9037.18833705357,9282.564732142859,1,-313.8838670324399,-3.3344691089331793,stop
2020-04-21,2020-05-07,long,8500.5595703125,9078.84375,8211.41748046875,9078.84375,12,537.9399964146883,5.91180226052624,target
2020-05-12,2020-05-13,long,9126.9697265625,8967.22398158482,8967.22398158482,9446.461216517859,1,-305.6396793856645,-3.1714030579250383,stop
2020-05-13,2020-05-18,long,8950.8896484375,9364.426688058036,8744.121128627232,9364.426688058036,3,547.784552934112,5.870131734898751,target
2020-05-26,2020-05-27,long,9412.830078125,9275.066476004464,9275.066476004464,9688.357282366072,1,-316.63609645387805,-3.204977873688783,stop
2020-05-27,2020-06-05,long,9296.25,9758.330078125,9065.2099609375,9758.330078125,7,562.229103679614,5.8792904030263955,target
2020-06-18,2020-07-06,long,9952.5,10446.213309151786,9705.643345424107,10446.213309151786,11,595.2597674040387,5.87904923992713,target
2020-07-14,2020-08-03,long,10485.8203125,11045.89111328125,10205.784912109375,11045.89111328125,14,631.1791438174874,5.887666127590942,target
2020-08-10,2020-08-18,long,11002.5498046875,11380.658970424109,10813.495221819196,11380.658970424109,6,661.2734681648534,5.825406774523653,target
2020-10-02,2020-10-12,long,11305.7900390625,11827.376395089286,11044.996861049107,11827.376395089286,6,705.1456721116565,5.869945332253108,target
2020-10-14,2020-10-19,long,12032.75,11608.081019810268,11608.081019810268,12882.087960379464,3,-392.34950135933445,-3.0850032653288504,stop
2020-10-19,2020-10-26,long,11880.23046875,11469.220284598214,11469.220284598214,12702.250837053572,5,-380.4564711831088,-3.086714862016869,stop
2020-12-02,2020-12-07,long,12338.3603515625,12569.636160714286,12222.722446986607,12569.636160714286,3,678.4734729582616,5.679905294112325,target
2020-12-09,2020-12-14,long,12318.26953125,12503.287248883928,12225.760672433036,12503.287248883928,3,706.9896794670719,5.600526813687452,target
2020-12-18,2020-12-21,long,12685.98046875,12516.260567801339,12516.260567801339,13025.420270647322,1,-429.81107371259213,-3.2242397102138427,stop
