swing_n,rr,risk,min_fvg_pct,allow_short,cagr,max_dd,sharpe,win_rate,profit_factor,n_trades,final
2,3.0,0.01,0.003,True,0.04704329312918043,-0.2627762324363051,0.6885085651620045,0.3829113924050633,1.5349266997720776,316,2504.142199469152
5,1.5,0.01,0.001,True,0.046248492335796865,-0.138815863331477,0.7637239921627924,0.5135746606334841,1.414638922582302,442,2466.4571514744466
3,1.5,0.01,0.001,True,0.046004922721688546,-0.13641666007466602,0.7588566794664723,0.5123042505592841,1.3748791500203377,447,2455.016695988805
5,3.0,0.01,0.003,False,0.04586555714014451,-0.12317269923694874,0.7878794396096995,0.42857142857142855,1.7444038318301578,217,2448.493391520239
3,1.5,0.01,0.0015,True,0.04547097259234034,-0.12639269293397992,0.7622927173368614,0.5127020785219399,1.3884983559903599,433,2430.1132017543364
5,2.0,0.01,0.003,False,0.04539006386358757,-0.09566925070507915,0.8788970433217267,0.49800796812749004,1.714568549325552,251,2426.360610477801
5,1.5,0.01,0.0015,True,0.04448469743243999,-0.12881974473012536,0.745037116999271,0.5116279069767442,1.4133962749569253,430,2384.7429067642647
2,2.0,0.01,0.003,False,0.044385531865586136,-0.07572766317036728,0.899396525462006,0.5,1.6984523950310941,238,2380.2259132867925
3,3.0,0.01,0.003,False,0.04418117700148971,-0.10909443502938176,0.7852353297600555,0.4265402843601896,1.7139424322688461,211,2370.9431632895053
5,1.5,0.01,0.003,False,0.04230720983465197,-0.10674061132223711,0.8919086620151649,0.5597014925373134,1.6733423920175081,268,2287.407517509161
2,1.5,0.01,0.003,False,0.04176232334764762,-0.08477103322144675,0.9244445753130808,0.562992125984252,1.6789124728698375,254,2263.647754811085
3,2.0,0.01,0.003,False,0.041010016194272136,-0.10912092463972911,0.812770719085283,0.48770491803278687,1.6154740292058627,244,2231.2284494736246
3,3.0,0.01,0.003,True,0.04097664119185218,-0.1902249483456615,0.6000459550398645,0.36890243902439024,1.420275963113685,328,2229.800481456264
2,2.0,0.01,0.003,True,0.04012402742061427,-0.14460111905562145,0.6622842993761473,0.4371584699453552,1.3861872251806826,366,2193.613920657333
2,1.5,0.01,0.003,True,0.039882630055581236,-0.15621755816324245,0.7063266680720903,0.5076530612244898,1.3951514399124334,392,2183.4703228364
3,1.5,0.01,0.003,False,0.039553556448126415,-0.11365407452608423,0.8535340841027689,0.5538461538461539,1.6057197794537965,260,2169.714290438147
5,2.0,0.01,0.003,True,0.03932706517828444,-0.13197930622337084,0.6393479165327717,0.4358288770053476,1.4028397147259313,374,2160.2943082254747
5,3.0,0.01,0.003,True,0.03710360565497384,-0.22429289128221053,0.543684099309404,0.36585365853658536,1.395517003438046,328,2069.8581936018504
5,1.5,0.01,0.003,True,0.035479068053017704,-0.14072183699477192,0.6307477774605117,0.4987405541561713,1.3590166836800661,397,2006.0687208939742
3,2.0,0.01,0.003,True,0.034732058945037725,-0.13565091369690074,0.5708667519201074,0.4270557029177719,1.3185032932347718,377,1977.3674113981208
3,1.5,0.01,0.003,True,0.03308421746505252,-0.15012270968690955,0.5920097384158625,0.49373433583959897,1.3021820597848415,399,1915.427787122053
